"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.05.2023","72,66","73,60","73,81","71,39","20,11K","-1,20%"
"30.05.2023","73,54","76,98","77,57","73,20","112,18K","-4,58%"
"29.05.2023","77,07","77,39","77,75","76,15","31,55K","0,16%"
"26.05.2023","76,95","76,09","77,35","75,73","150,62K","0,90%"
"25.05.2023","76,26","78,22","78,50","75,10","237,72K","-2,68%"
"24.05.2023","78,36","77,70","78,66","77,03","285,99K","1,98%"
"23.05.2023","76,84","76,15","77,74","75,65","287,23K","1,12%"
"22.05.2023","75,99","75,63","76,46","74,55","241,96K","0,54%"
"19.05.2023","75,58","76,03","77,50","75,12","240,53K","-0,37%"
"18.05.2023","75,86","76,78","76,99","75,50","232,00K","-1,43%"
"17.05.2023","76,96","74,67","77,31","74,10","297,06K","2,74%"
"16.05.2023","74,91","75,55","75,95","74,50","216,20K","-0,43%"
"15.05.2023","75,23","74,15","75,75","73,49","240,52K","1,43%"
"12.05.2023","74,17","75,35","75,85","74,03","259,22K","-1,08%"
"11.05.2023","74,98","76,62","77,41","74,61","345,16K","-1,87%"
"10.05.2023","76,41","77,36","77,60","75,68","311,37K","-1,33%"
"09.05.2023","77,44","76,71","77,50","75,07","283,41K","0,56%"
"08.05.2023","77,01","75,23","77,43","74,95","185,75K","2,27%"
"05.05.2023","75,30","72,69","75,75","72,41","265,07K","3,86%"
"04.05.2023","72,50","71,28","73,72","71,28","362,23K","0,24%"
"03.05.2023","72,33","75,31","75,58","71,70","469,62K","-3,97%"
"02.05.2023","75,32","79,28","79,78","75,07","383,59K","-5,03%"
"01.05.2023","79,31","80,11","80,24","78,13","146,56K","-0,29%"
