Data da Coleta,Regiao - Sigla,Estado - Sigla,Municipio,Produto,Data da Coleta,Valor de Venda,Bandeira
2023-01-05,SE,SP,SOROCABA,GASOLINA,2023-01-05,"4,69",BRANCA
2023-01-05,N,AC,CRUZEIRO DO SUL,GASOLINA,2023-01-05,"6,97",IPIRANGA
2023-01-05,NE,AL,ARAPIRACA,GASOLINA,2023-01-05,"5,89",VIBRA ENERGIA
2023-01-05,NE,AL,ARAPIRACA,GASOLINA,2023-01-05,"5,77",VIBRA ENERGIA
2023-01-05,NE,AL,ARAPIRACA,GASOLINA,2023-01-05,"5,74",IPIRANGA
2023-01-05,NE,AL,ARAPIRACA,GASOLINA,2023-01-05,"5,74",IPIRANGA
2023-01-05,NE,AL,DELMIRO GOUVEIA,GASOLINA,2023-01-05,"6,59",VIBRA ENERGIA
2023-01-05,NE,AL,DELMIRO GOUVEIA,GASOLINA,2023-01-05,"6,59",BRANCA
2023-01-05,NE,AL,DELMIRO GOUVEIA,GASOLINA,2023-01-05,"6,55",BRANCA
2023-01-05,NE,BA,SALVADOR,GASOLINA,2023-01-05,"5,59",RAIZEN
2023-01-05,NE,BA,SALVADOR,GASOLINA,2023-01-05,"5,99",VIBRA ENERGIA
2023-01-05,NE,BA,SALVADOR,GASOLINA,2023-01-05,"5,69",VIBRA ENERGIA
2023-01-05,NE,BA,SALVADOR,GASOLINA,2023-01-05,"5,57",RAIZEN
2023-01-05,NE,BA,SALVADOR,GASOLINA,2023-01-05,"5,59",VIBRA ENERGIA
2023-01-05,NE,BA,SALVADOR,GASOLINA,2023-01-05,"5,57",RAIZEN
2023-01-05,NE,BA,SALVADOR,GASOLINA,2023-01-05,"5,79",IPIRANGA
2023-01-05,NE,BA,SALVADOR,GASOLINA,2023-01-05,"5,57",RAIZEN
2023-01-05,NE,BA,SALVADOR,GASOLINA,2023-01-05,"5,54",BRANCA
2023-01-05,NE,BA,SALVADOR,GASOLINA,2023-01-05,"5,69",VIBRA ENERGIA
2023-01-05,NE,BA,SALVADOR,GASOLINA,2023-01-05,"5,78",VIBRA ENERGIA
2023-01-05,NE,BA,SALVADOR,GASOLINA,2023-01-05,"5,59",VIBRA ENERGIA
2023-01-05,CO,DF,BRASILIA,GASOLINA,2023-01-05,"5,49",RAIZEN
2023-01-05,CO,DF,BRASILIA,GASOLINA,2023-01-05,"5,49",BRANCA
2023-01-05,CO,DF,BRASILIA,GASOLINA,2023-01-05,"5,49",IPIRANGA
2023-01-05,CO,DF,BRASILIA,GASOLINA,2023-01-05,"5,29",RAIZEN
2023-01-05,CO,DF,BRASILIA,GASOLINA,2023-01-05,"5,39",BRANCA
2023-01-05,CO,DF,BRASILIA,GASOLINA,2023-01-05,"5,49",RAIZEN
2023-01-05,CO,DF,BRASILIA,GASOLINA,2023-01-05,"5,86",VIBRA ENERGIA
2023-01-05,CO,DF,BRASILIA,GASOLINA,2023-01-05,"5,65",IPIRANGA
2023-01-05,CO,DF,BRASILIA,GASOLINA,2023-01-05,"5,49",VIBRA ENERGIA
2023-01-05,SE,MG,CARATINGA,GASOLINA,2023-01-05,"5,45",BRANCA
2023-01-05,SE,MG,CARATINGA,GASOLINA,2023-01-05,"5,46",BRANCA
2023-01-05,SE,MG,CARATINGA,GASOLINA,2023-01-05,"5,46",BRANCA
2023-01-05,SE,MG,CONSELHEIRO LAFAIETE,GASOLINA,2023-01-05,"5,47",IPIRANGA
2023-01-05,SE,MG,CONSELHEIRO LAFAIETE,GASOLINA,2023-01-05,"5,19",BRANCA
2023-01-05,SE,MG,CONSELHEIRO LAFAIETE,GASOLINA,2023-01-05,"5,45",BRANCA
2023-01-05,SE,MG,CONSELHEIRO LAFAIETE,GASOLINA,2023-01-05,"5,49",ALESAT
2023-01-05,SE,MG,CONSELHEIRO LAFAIETE,GASOLINA,2023-01-05,"5,59",BRANCA
2023-01-05,SE,MG,DIVINOPOLIS,GASOLINA,2023-01-05,"5,49",IPIRANGA
2023-01-05,SE,MG,DIVINOPOLIS,GASOLINA,2023-01-05,"5,55",VIBRA ENERGIA
